group,mode,channel,profile,region,n_cells,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
PC_OFF,normal,logit,ramp,dark_boundary,4,0.0023121386766433716,0.0029635876417160034,-0.0006514489650726318,0.0,0.0,0.0,0.0023121386766433716,0.0029635876417160034,-0.0006514489650726318,0.2829383760690689,0.27946077287197113,0.0034776031970977783,-5.0,-4.5,-0.5,-2.0,-2.0,0.0
all,normal,logit,ramp,dark_boundary,22,0.0012891861525448885,0.0017469064755873246,-0.00045772032304243606,-0.0025267275896939364,-0.003263565627011386,0.0007368380373174494,-0.06705171682617882,-0.06691377542235634,-0.0001379414038224654,0.09295438636432994,0.08976564353162592,0.003188742832704024,-3.272727272727273,-3.1818181818181817,-0.09090909090909091,-3.590909090909091,-3.5454545454545454,-0.045454545454545456
PC_OFF,normal,logit,ramp,bright_boundary,4,0.0,0.0,0.0,-0.002312213182449341,-0.002963647246360779,0.000651434063911438,-0.2829384207725525,-0.2794608175754547,-0.0034776031970977783,-0.002312213182449341,-0.002963647246360779,0.000651434063911438,2.0,2.0,0.0,5.0,4.5,0.5
all,normal,logit,ramp,bright_boundary,22,0.0025267492641102185,0.003263522278178822,-0.0007367730140686035,-0.0012892051176591353,-0.0017469389872117476,0.0004577338695526123,-0.0929544053294442,-0.08976570042696866,-0.0031887049024755306,0.06705171411687677,0.06691368872469122,0.00013802539218555796,3.590909090909091,3.5454545454545454,0.045454545454545456,3.272727272727273,3.1818181818181817,0.09090909090909091
PC_OFF,normal,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825918644666672,0.27920226752758026,0.003389596939086914,-6.0,-6.0,0.0,-2.0,-2.0,0.0
all,normal,logit,matched_uniform,dark_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.06830198114568536,-0.06848630038174716,0.00018431923606178978,0.09534912488677284,0.0927734835581346,0.0025756413286382503,-3.6363636363636362,-3.6363636363636362,0.0,-4.363636363636363,-4.363636363636363,0.0
PC_OFF,normal,logit,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.28259189426898956,-0.27920232713222504,-0.0033895671367645264,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
all,normal,logit,matched_uniform,bright_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.09534913572398099,-0.0927735214883631,-0.0025756142356178975,0.06830199740149757,0.06848630038174716,-0.0001843029802495783,3.1818181818181817,3.1818181818181817,0.0,2.8181818181818183,2.8181818181818183,0.0
PC_OFF,normal,probability,ramp,dark_boundary,4,0.0004924796521663666,0.000642821192741394,-0.00015034154057502747,0.0,0.0,0.0,0.0004924796521663666,0.000642821192741394,-0.00015034154057502747,0.04671546630561352,0.045331353321671486,0.0013841129839420319,-5.0,-4.5,-0.5,-2.0,-2.0,0.0
all,normal,probability,ramp,dark_boundary,22,0.0002476959065957503,0.00033408403396606445,-8.638812737031417e-05,-0.000374898991801522,-0.0004745254462415522,9.962645444003019e-05,-0.009622924368489872,-0.009443806653672998,-0.00017911771481687373,0.014867150309410963,0.014218388971957293,0.0006487613374536687,-3.272727272727273,-3.1818181818181817,-0.09090909090909091,-3.590909090909091,-3.5454545454545454,-0.045454545454545456
PC_OFF,normal,probability,ramp,bright_boundary,4,0.0,0.0,0.0,-0.00039385072886943817,-0.0005380213260650635,0.0001441705971956253,-0.050328467041254044,-0.04910871759057045,-0.0012197494506835938,-0.00039385072886943817,-0.0005380213260650635,0.0001441705971956253,2.0,2.0,0.0,5.0,4.5,0.5
all,normal,probability,ramp,bright_boundary,22,0.00040456652641296387,0.0005182610316710038,-0.00011369450525804,-0.0002090981738133864,-0.00028391453352841466,7.481635971502824e-05,-0.015915403989228336,-0.015257674862038006,-0.0006577291271903298,0.009233107959682291,0.00905944203788584,0.00017366592179645193,3.590909090909091,3.5454545454545454,0.045454545454545456,3.272727272727273,3.1818181818181817,0.09090909090909091
PC_OFF,normal,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046639254316687584,0.04527382366359234,0.0013654306530952454,-6.0,-6.0,0.0,-2.0,-2.0,0.0
all,normal,probability,matched_uniform,dark_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.00986485250971534,-0.009754001755606045,-0.00011085075410929593,0.01521649719639258,0.014648649164221504,0.0005678480321710759,-3.6363636363636362,-3.6363636363636362,0.0,-4.363636363636363,-4.363636363636363,0.0
PC_OFF,normal,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.05025890842080116,-0.049055181443691254,-0.001203726977109909,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
all,normal,probability,matched_uniform,bright_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.016296567564660854,-0.015735761685804886,-0.0005608058788559654,0.009436092593453148,0.009317724203521555,0.00011836838993159208,3.1818181818181817,3.1818181818181817,0.0,2.8181818181818183,2.8181818181818183,0.0
PC_OFF,H1_off,logit,ramp,dark_boundary,4,0.001469939947128296,0.0021647214889526367,-0.0006947815418243408,0.0,0.0,0.0,0.001469939947128296,0.0021647214889526367,-0.0006947815418243408,0.29532569646835327,0.29018545150756836,0.005140244960784912,-5.0,-4.75,-0.25,-2.0,-2.0,0.0
all,H1_off,logit,ramp,dark_boundary,22,0.0009751401164314964,0.0012000013481486928,-0.00022486123171719638,-0.002399222417311235,-0.0027217323129827328,0.0003225098956714977,-0.06905458461154591,-0.07496765797788446,0.005913073366338556,0.09770987792448564,0.09904934872280467,-0.0013394707983190363,-3.272727272727273,-3.227272727272727,-0.045454545454545456,-3.590909090909091,-3.5454545454545454,-0.045454545454545456
PC_OFF,H1_off,logit,ramp,bright_boundary,4,0.0,0.0,0.0,-0.0014699697494506836,-0.0021647661924362183,0.0006947964429855347,-0.29532572627067566,-0.29018542170524597,-0.0051403045654296875,-0.0014699697494506836,-0.0021647661924362183,0.0006947964429855347,2.0,2.0,0.0,5.0,4.75,0.25
all,H1_off,logit,ramp,bright_boundary,22,0.0023992169987071643,0.0027217214757745915,-0.0003225044770674272,-0.0009751428257335316,-0.0011999905109405518,0.00022484768520702016,-0.09770988063378767,-0.0990493351762945,0.0013394545425068247,0.06905459273945201,0.0749676525592804,-0.0059130598198283806,3.590909090909091,3.5454545454545454,0.045454545454545456,3.272727272727273,3.227272727272727,0.045454545454545456
PC_OFF,H1_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29532569646835327,0.29018545150756836,0.005140244960784912,-6.0,-6.0,0.0,-2.0,-2.0,0.0
all,H1_off,logit,matched_uniform,dark_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.0700297247279774,-0.07616766474463722,0.006137940016659823,0.10010910034179688,0.10177108103578741,-0.001661980693990534,-3.6363636363636362,-3.6363636363636362,0.0,-4.363636363636363,-4.363636363636363,0.0
PC_OFF,H1_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.29532571136951447,-0.2901853919029236,-0.005140319466590881,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
all,H1_off,logit,matched_uniform,bright_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.10010909492319281,-0.10177105123346503,0.0016619563102722168,0.07002973556518555,0.07616764307022095,-0.0061379075050354,3.1818181818181817,3.1818181818181817,0.0,2.8181818181818183,2.8181818181818183,0.0
PC_OFF,H1_off,probability,ramp,dark_boundary,4,0.0003011561930179596,0.0004624314606189728,-0.00016127526760101318,0.0,0.0,0.0,0.0003011561930179596,0.0004624314606189728,-0.00016127526760101318,0.049178386107087135,0.04754207283258438,0.0016363132745027542,-5.0,-4.75,-0.25,-2.0,-2.0,0.0
