group,mode,channel,profile,region,n_cells,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
PC_OFF,normal,logit,ramp,dark_boundary,4,0.0023121386766433716,0.0,0.0023121386766433716,0.2829383760690689,-5.0,-2.0
all,normal,logit,ramp,dark_boundary,22,0.0012891861525448885,-0.0025267275896939364,-0.06705171682617882,0.09295438636432994,-3.272727272727273,-3.590909090909091
PC_OFF,normal,logit,ramp,bright_boundary,4,0.0,-0.002312213182449341,-0.2829384207725525,-0.002312213182449341,2.0,5.0
all,normal,logit,ramp,bright_boundary,22,0.0025267492641102185,-0.0012892051176591353,-0.0929544053294442,0.06705171411687677,3.590909090909091,3.272727272727273
PC_OFF,normal,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.2825918644666672,-6.0,-2.0
all,normal,logit,matched_uniform,dark_boundary,22,0.0,0.0,-0.06830198114568536,0.09534912488677284,-3.6363636363636362,-4.363636363636363
PC_OFF,normal,logit,matched_uniform,bright_boundary,4,0.0,0.0,-0.28259189426898956,0.0,2.0,4.0
all,normal,logit,matched_uniform,bright_boundary,22,0.0,0.0,-0.09534913572398099,0.06830199740149757,3.1818181818181817,2.8181818181818183
PC_OFF,normal,probability,ramp,dark_boundary,4,0.0004924796521663666,0.0,0.0004924796521663666,0.04671546630561352,-5.0,-2.0
all,normal,probability,ramp,dark_boundary,22,0.0002476959065957503,-0.000374898991801522,-0.009622924368489872,0.014867150309410963,-3.272727272727273,-3.590909090909091
PC_OFF,normal,probability,ramp,bright_boundary,4,0.0,-0.00039385072886943817,-0.050328467041254044,-0.00039385072886943817,2.0,5.0
all,normal,probability,ramp,bright_boundary,22,0.00040456652641296387,-0.0002090981738133864,-0.015915403989228336,0.009233107959682291,3.590909090909091,3.272727272727273
PC_OFF,normal,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.046639254316687584,-6.0,-2.0
all,normal,probability,matched_uniform,dark_boundary,22,0.0,0.0,-0.00986485250971534,0.01521649719639258,-3.6363636363636362,-4.363636363636363
PC_OFF,normal,probability,matched_uniform,bright_boundary,4,0.0,0.0,-0.05025890842080116,0.0,2.0,4.0
all,normal,probability,matched_uniform,bright_boundary,22,0.0,0.0,-0.016296567564660854,0.009436092593453148,3.1818181818181817,2.8181818181818183
PC_OFF,H1_off,logit,ramp,dark_boundary,4,0.001469939947128296,0.0,0.001469939947128296,0.29532569646835327,-5.0,-2.0
