cell_id,group,mode,channel,family,name,control,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean
67#4,PC_OFF,normal,logit,White,remote_contour_rearrangement,False,diagnostic_minus_original,-5.102157501823967e-06,-1.239776611328125e-05,1.239776611328125e-05,113.33331298828125,-1.302957534790039e-06,-1.519918441772461e-06,-1.1116266250610352e-05
67#4,PC_OFF,normal,logit,White,remote_contour_rearrangement,False,previous_diagnostic_minus_original,-6.318092346191406e-06,-1.5497207641601562e-05,1.5497207641601562e-05,113.33331298828125,-1.632372538248698e-06,-2.1010637283325195e-06,-1.376122236251831e-05
67#4,PC_OFF,normal,logit,White,remote_contour_rearrangement,False,shared_minus_overlapping_diagnostic_change,1.2159347306806012e-06,3.0994415283203125e-06,3.0994415283203125e-06,113.33331298828125,3.294150034586589e-07,5.811452865600586e-07,2.644956111907959e-06
67#4,PC_OFF,normal,probability,White,remote_contour_rearrangement,False,diagnostic_minus_original,-1.0112921700056177e-06,-2.473592758178711e-06,2.473592758178711e-06,113.33331298828125,-2.586841583251953e-07,-3.0547380447387695e-07,-2.201646566390991e-06
67#4,PC_OFF,normal,probability,White,remote_contour_rearrangement,False,previous_diagnostic_minus_original,-1.2417634707162506e-06,-3.069639205932617e-06,3.069639205932617e-06,113.33331298828125,-3.1868616739908854e-07,-4.0605664253234863e-07,-2.689659595489502e-06
67#4,PC_OFF,normal,probability,White,remote_contour_rearrangement,False,shared_minus_overlapping_diagnostic_change,2.3047128649977822e-07,5.960464477539062e-07,5.960464477539062e-07,113.33331298828125,6.000200907389324e-08,1.0058283805847168e-07,4.880130290985107e-07
67#4,PC_OFF,normal,logit,White,remote_contour_rearrangement_control,True,diagnostic_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,White,remote_contour_rearrangement_control,True,previous_diagnostic_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,White,remote_contour_rearrangement_control,True,shared_minus_overlapping_diagnostic_change,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,probability,White,remote_contour_rearrangement_control,True,diagnostic_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,probability,White,remote_contour_rearrangement_control,True,previous_diagnostic_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,probability,White,remote_contour_rearrangement_control,True,shared_minus_overlapping_diagnostic_change,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Hermann,contour_rearrangement,False,diagnostic_minus_original,-1.4066696394365863e-06,-3.337860107421875e-06,3.337860107421875e-06,113.33331298828125,-3.3020973205566406e-07,-4.470348358154297e-07,-2.868473529815674e-06
67#4,PC_OFF,normal,logit,Hermann,contour_rearrangement,False,previous_diagnostic_minus_original,-1.7086664456655853e-06,-3.933906555175781e-06,3.933906555175781e-06,113.33331298828125,-4.061063130696615e-07,-5.811452865600586e-07,-3.4421682357788086e-06
67#4,PC_OFF,normal,logit,Hermann,contour_rearrangement,False,shared_minus_overlapping_diagnostic_change,3.019968630724179e-07,7.152557373046875e-07,7.152557373046875e-07,86.66665649414062,7.58965810139974e-08,1.341104507446289e-07,5.736947059631348e-07
67#4,PC_OFF,normal,probability,Hermann,contour_rearrangement,False,diagnostic_minus_original,-2.47359281502213e-07,-6.109476089477539e-07,6.109476089477539e-07,126.66665649414062,-6.119410196940105e-08,-7.636845111846924e-08,-5.420297384262085e-07
67#4,PC_OFF,normal,probability,Hermann,contour_rearrangement,False,previous_diagnostic_minus_original,-3.099441414633475e-07,-7.599592208862305e-07,7.599592208862305e-07,120.0,-7.708867390950522e-08,-1.1362135410308838e-07,-6.593763828277588e-07
67#4,PC_OFF,normal,probability,Hermann,contour_rearrangement,False,shared_minus_overlapping_diagnostic_change,6.258487417198921e-08,1.7881393432617188e-07,1.7881393432617188e-07,146.66665649414062,1.5894571940104166e-08,3.725290298461914e-08,1.1734664440155029e-07
67#4,PC_OFF,normal,logit,Hermann,contour_rearrangement_control,True,diagnostic_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,normal,logit,Hermann,contour_rearrangement_control,True,previous_diagnostic_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
