cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,control,x_pixels
67#4,PC_OFF,normal,logit,Mach,Mach_x-12,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063829739888513,0.11089369654655457,0.13402488827705383,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-11,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.02306382497151693,0.11089369654655457,0.13402482867240906,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-10,response_minus_blank,0.18015435338020325,0.2606518864631653,0.2606518864631653,66.66665649414062,0.023063799540201824,0.11089370399713516,0.13402464985847473,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-09,response_minus_blank,0.18015460669994354,0.2606523633003235,0.2606523633003235,66.66665649414062,0.023063764572143555,0.1108938604593277,0.13402459025382996,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-08,response_minus_blank,0.1801569014787674,0.2606562376022339,0.2606562376022339,66.66665649414062,0.023063999811808268,0.11089474707841873,0.13402718305587769,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-07,response_minus_blank,0.1801660656929016,0.26067179441452026,0.26067179441452026,66.66665649414062,0.023065487543741863,0.11089803278446198,0.13404136896133423,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-06,response_minus_blank,0.18019162118434906,0.2607150077819824,0.2607150077819824,66.66665649414062,0.023070240020751955,0.11090678721666336,0.13408491015434265,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-05,response_minus_blank,0.18182411789894104,0.26355522871017456,0.26355522871017456,100.0,0.023513023058573407,0.11136328428983688,0.13781285285949707,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-04,response_minus_blank,0.17688558995723724,0.2593159079551697,0.2593159079551697,100.0,0.023322798411051435,0.10726458579301834,0.1389138549566269,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-03,response_minus_blank,0.13683518767356873,0.1987628936767578,0.1987628936767578,100.0,0.017754909197489423,0.08365501463413239,0.10436549037694931,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-02,response_minus_blank,0.09017910808324814,0.13049888610839844,0.13049888610839844,66.66665649414062,0.011548431714375815,0.05547994375228882,0.06714743375778198,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-01,response_minus_blank,0.04509855434298515,0.06526482105255127,0.06526482105255127,66.66665649414062,0.005775235493977865,0.02774260938167572,0.033579058945178986,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+00,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+00,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+01,response_minus_blank,-0.04509854316711426,-0.0652647614479065,0.0652647614479065,66.66665649414062,-0.005775234699249268,-0.027742601931095123,-0.03357906639575958,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+02,response_minus_blank,-0.09017909318208694,-0.1304989457130432,0.1304989457130432,66.66665649414062,-0.011548431714375815,-0.055479928851127625,-0.06714742630720139,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+03,response_minus_blank,-0.13683515787124634,-0.1987629532814026,0.1987629532814026,100.0,-0.017754907608032226,-0.08365499973297119,-0.10436549782752991,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+04,response_minus_blank,-0.17688556015491486,-0.2593159079551697,0.2593159079551697,100.0,-0.023322796821594237,-0.10726457834243774,-0.13891388475894928,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+05,response_minus_blank,-0.18182410299777985,-0.26355522871017456,0.26355522871017456,100.0,-0.023513023058573407,-0.11136328428983688,-0.13781288266181946,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+06,response_minus_blank,-0.18019162118434906,-0.26071494817733765,0.26071494817733765,66.66665649414062,-0.02307023843129476,-0.11090679466724396,-0.13408492505550385,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+07,response_minus_blank,-0.180166095495224,-0.26067179441452026,0.26067179441452026,66.66665649414062,-0.023065487543741863,-0.11089804768562317,-0.13404136896133423,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+08,response_minus_blank,-0.1801568865776062,-0.2606561779975891,0.2606561779975891,66.66665649414062,-0.023064002990722657,-0.11089473217725754,-0.13402719795703888,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+09,response_minus_blank,-0.18015460669994354,-0.2606523633003235,0.2606523633003235,66.66665649414062,-0.023063762982686364,-0.1108938530087471,-0.13402456045150757,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+10,response_minus_blank,-0.18015435338020325,-0.2606518864631653,0.2606518864631653,66.66665649414062,-0.02306379795074463,-0.11089371889829636,-0.13402466475963593,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+11,response_minus_blank,-0.18015436828136444,-0.2606518864631653,0.2606518864631653,66.66665649414062,-0.02306382656097412,-0.11089370399713516,-0.13402484357357025,,
