group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
PC_OFF,slow_step,normal,logit,4,0.4843326807022095,0.4843326807022095,1533.3333333333335,1233.3333333333335,0.6978033110499382,0.11060147732496262,-0.00030527263879776,0.12347648665308952,0.3375205434858799,0.12347648665308952,0.23737258464097977,0.0,0.0,0.0,0.0
all,slow_step,normal,logit,22,0.41628443652933295,0.41628443652933295,1524.2424242424242,1224.2424242424242,0.4670299217104912,0.1445376913655888,-0.0005929558114572005,0.08750758624889633,0.29248543828725815,0.08750758624889633,0.08743188767270609,0.0,0.0,0.0,0.0
PC_OFF,slow_1Hz,normal,logit,4,0.4843328073620796,0.4843328073620796,1033.3333333333335,733.3333333333335,0.6978418231010437,0.11060160398483276,-0.00026676058769226074,0.12347648665308952,0.3375299423933029,0.12347648665308952,0.23737447708845139,0.0,0.0,0.0,0.0
all,slow_1Hz,normal,logit,22,0.41628428074446594,0.41628428074446594,1024.2424242424242,724.2424242424242,0.46709364584901114,0.14453753558072177,-0.0005292316729372197,0.08750758624889633,0.2924972596493634,0.08750758624889633,0.08743009242144498,0.0,0.0,0.0,0.0
PC_OFF,slow_2Hz,normal,logit,4,0.48433487117290497,0.48433487117290497,785.0,485.00000000000006,0.6979180797934532,0.11060366779565811,-0.00019050389528274536,0.12347648665308952,0.3377037048339844,0.12347648665308952,0.23487380892038345,0.0,0.0,0.0,0.0
all,slow_2Hz,normal,logit,22,0.41626872528683057,0.41626872528683057,769.3939393939395,469.39393939393943,0.46722039444880054,0.1445219801230864,-0.00040248307314786046,0.08750758624889633,0.29269632629372855,0.08750758624889633,0.08337767697362737,0.0,0.0,0.0,0.0
PC_OFF,rapid_10Hz,normal,logit,4,0.40722836554050446,0.40722836554050446,426.6666666666667,126.66666666666669,0.6981142833828926,0.0334971621632576,5.6996941566467285e-06,0.12347648665308952,0.2555154822766781,0.12347648665308952,0.2920941151678562,0.0,0.0,0.0,0.0
all,rapid_10Hz,normal,logit,22,0.33779672330076044,0.33779672330076044,430.6060606060606,130.60606060606062,0.4676066609946164,0.0660499781370163,-1.6216527331959117e-05,0.08750758624889633,0.19958159666169772,0.08750758624889633,0.1412835017015988,0.0,0.0,0.0,0.0
PC_OFF,rapid_20Hz,normal,logit,4,0.37132857739925385,0.37132857739925385,405.0,105.00000000000001,0.6981144025921822,-0.0024026259779930115,5.81890344619751e-06,0.12451204843819141,0.22483721375465393,0.12451204843819141,0.2785325422883034,0.0,0.0,0.0,0.0
all,rapid_20Hz,normal,logit,22,0.27360535209829157,0.27360535209829157,508.7878787878788,208.7878787878788,0.46762593496929517,0.0018586069345474243,3.0574473467740146e-06,0.08989926698532971,0.14412067119370808,0.08989926698532971,0.18159774047407237,0.0,0.0,0.0,0.0
PC_OFF,transient_50ms,normal,logit,4,0.4396265968680382,0.4396265968680382,1380.0,1080.0,0.69809690117836,0.06589539349079132,-1.1682510375976562e-05,0.12347648665308952,0.21408651024103165,0.12347648665308952,0.2814972400665283,0.0,0.0,0.0,0.0
all,transient_50ms,normal,logit,22,0.3709064762700688,0.3709064762700688,1377.5757575757577,1077.5757575757577,0.4676068282940171,0.09915973110632463,-1.6049227931282736e-05,0.08750758624889633,0.1282940615307201,0.08750758624889633,0.12512204034084623,0.0,0.0,0.0,0.0
PC_OFF,large_field_50ms,normal,logit,4,0.04879330098628998,0.2801017612218857,603.3333333333334,303.33333333333337,1.9868216794005633e-10,-0.2986408546566963,1.539786700921475e-09,0.1216591876000166,0.14524542074650526,0.1216591876000166,0.14524542074650526,0.0,0.0,0.0,0.0
all,large_field_50ms,normal,logit,22,0.015130809762261131,0.2100422355261716,534.5454545454545,234.5454545454546,2.52868198602485e-10,-0.2029031582854011,9.301937175066787e-10,0.08689225735989484,0.018430392638864843,0.08689225735989484,0.018430392638864843,0.0,0.0,0.0,0.0
PC_OFF,slow_step,normal,probability,4,0.09631631150841713,0.09631631150841713,1533.3333333333335,1233.3333333333335,0.1348316501826048,0.02404491975903511,0.0010979920625686646,0.022595375776290894,0.0661046365275979,0.022595375776290894,0.04373542871326208,0.0,0.0,0.0,0.0
all,slow_step,normal,probability,22,0.07325333932583983,0.07325333932583983,1524.2424242424242,1224.2424242424242,0.08179651471701535,0.026935163208029488,0.002770397219468247,0.014737118628214706,0.05031426132402637,0.014737118628214706,0.01476481290195476,0.0,0.0,0.0,0.0
PC_OFF,slow_1Hz,normal,probability,4,0.09631633386015892,0.09631633386015892,1033.3333333333335,733.3333333333335,0.13475303910672665,0.0240449421107769,0.0010193809866905212,0.022595375776290894,0.06610662396997213,0.022595375776290894,0.04373578727245331,0.0,0.0,0.0,0.0
all,slow_1Hz,normal,probability,22,0.07325330816886642,0.07325330816886642,1024.2424242424242,724.2424242424242,0.08163685266944495,0.02693513205105608,0.002610735171897845,0.014737118628214706,0.05031642893498594,0.014737118628214706,0.014764551496641203,0.0,0.0,0.0,0.0
PC_OFF,slow_2Hz,normal,probability,4,0.09631675854325294,0.09631675854325294,785.0,485.00000000000006,0.13459265790879726,0.024045366793870926,0.0008589997887611389,0.022595375776290894,0.06614349130541086,0.022595375776290894,0.04321403009817004,0.0,0.0,0.0,0.0
all,slow_2Hz,normal,probability,22,0.07325079732320526,0.07325079732320526,769.0909090909091,469.0909090909092,0.08131039633669636,0.026932621205394917,0.002284278839149258,0.014737118628214706,0.05035413403741338,0.014737118628214706,0.014059308138464323,0.0,0.0,0.0,0.0
PC_OFF,rapid_10Hz,normal,probability,4,0.07937739044427872,0.07937739044427872,426.6666666666667,126.66666666666669,0.13376329839229584,0.007105998694896698,2.964027225971222e-05,0.022595375776290894,0.048857320100069046,0.022595375776290894,0.0549596231430769,0.0,0.0,0.0,0.0
all,rapid_10Hz,normal,probability,22,0.058505024422298775,0.058505024422298775,430.6060606060606,130.60606060606062,0.07944864864376458,0.012186848304488442,0.00042253114621747625,0.014737118628214706,0.03354581089859659,0.014737118628214706,0.023613068645566025,0.0,0.0,0.0,0.0
PC_OFF,rapid_20Hz,normal,probability,4,0.07167902961373329,0.07167902961373329,405.0,105.00000000000001,0.13369940780103207,-0.0005923621356487274,-3.425031900405884e-05,0.022815095726400614,0.0426388131454587,0.022815095726400614,0.052460080944001675,0.0,0.0,0.0,0.0
all,rapid_20Hz,normal,probability,22,0.046628620475530624,0.046628620475530624,508.7878787878788,208.7878787878788,0.07904406264424324,0.00031044435772028834,1.7945146696134046e-05,0.015066798649389635,0.02389850907705047,0.015066798649389635,0.0305795714428479,0.0,0.0,0.0,0.0
PC_OFF,transient_50ms,normal,probability,4,0.0864521898329258,0.0864521898329258,1380.0,1080.0,0.133761715143919,0.014180798083543777,2.8057023882865906e-05,0.022595375776290894,0.04058580752462149,0.022595375776290894,0.052717097103595734,0.0,0.0,0.0,0.0
all,transient_50ms,normal,probability,22,0.0646644735878164,0.0646644735878164,1377.5757575757577,1077.5757575757577,0.07910249128260395,0.018346297470006077,7.637378505685113e-05,0.014737118628214706,0.02145338168537075,0.014737118628214706,0.020947589687156407,0.0,0.0,0.0,0.0
PC_OFF,large_field_50ms,normal,probability,4,0.052326615899801254,0.052326615899801254,353.33333333333337,53.33333333333337,0.0003165968428220367,-0.014424841850996017,-0.00014090646618569735,0.02217784710228443,0.02672687848098576,0.02217784710228443,0.02672687848098576,0.0,0.0,0.0,0.0
