group,probe,mode,channel,n_cells,current_peak_response,previous_peak_response,delta_peak_response,current_peak_absolute_response,previous_peak_absolute_response,delta_peak_absolute_response,current_peak_latency_ms_from_trial_start,previous_peak_latency_ms_from_trial_start,delta_peak_latency_ms_from_trial_start,current_peak_latency_ms_from_onset,previous_peak_latency_ms_from_onset,delta_peak_latency_ms_from_onset,current_response_integral_seconds,previous_response_integral_seconds,delta_response_integral_seconds,current_peak_change_vs_center_only,previous_peak_change_vs_center_only,delta_peak_change_vs_center_only,current_integral_change_vs_center_only,previous_integral_change_vs_center_only,delta_integral_change_vs_center_only,current_center_onset_50ms,previous_center_onset_50ms,delta_center_onset_50ms,current_center_offset_50ms,previous_center_offset_50ms,delta_center_offset_50ms,current_surround_first_onset_50ms,previous_surround_first_onset_50ms,delta_surround_first_onset_50ms,current_surround_first_offset_50ms,previous_surround_first_offset_50ms,delta_surround_first_offset_50ms,current_off_minus_normal_mean_abs_active,previous_off_minus_normal_mean_abs_active,delta_off_minus_normal_mean_abs_active,current_off_minus_normal_peak_signed,previous_off_minus_normal_peak_signed,delta_off_minus_normal_peak_signed,current_off_minus_normal_peak_absolute,previous_off_minus_normal_peak_absolute,delta_off_minus_normal_peak_absolute,current_off_minus_normal_integral_seconds,previous_off_minus_normal_integral_seconds,delta_off_minus_normal_integral_seconds
PC_OFF,slow_step,normal,logit,4,0.4843326807022095,0.5725977122783661,-0.08826503157615662,0.4843326807022095,0.5725977122783661,-0.08826503157615662,1533.3333333333335,1513.3333333333335,20.000000000000057,1233.3333333333335,1213.3333333333335,20.000000000000057,0.6978033110499382,0.7836220562458038,-0.08581874519586563,0.11060147732496262,0.1494777649641037,-0.03887628763914108,-0.00030527263879776,-0.0005891323089599609,0.00028385967016220093,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.3375205434858799,0.4053741618990898,-0.06785361841320992,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.23737258464097977,0.2596980482339859,-0.022325463593006134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,slow_step,normal,logit,22,0.41628443652933295,0.42373762889341876,-0.007453192364085804,0.41628443652933295,0.4466418082063848,-0.03035737167705189,1524.2424242424242,1511.2121212121215,13.030303030303033,1224.2424242424242,1211.2121212121212,13.030303030303033,0.4670299217104912,0.49075506678359077,-0.02372514507309957,0.1445376913655888,0.1253875412724235,0.01915015009316531,-0.0005929558114572005,-0.0006936168806119399,0.00010066106915473938,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.29248543828725815,0.3017677454785867,-0.00928230719132857,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.08743188767270609,0.10281143980947408,-0.015379552136767994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,slow_1Hz,normal,logit,4,0.4843328073620796,0.572597861289978,-0.08826505392789841,0.4843328073620796,0.572597861289978,-0.08826505392789841,1033.3333333333335,1013.3333333333334,20.000000000000085,733.3333333333335,713.3333333333334,20.000000000000085,0.6978418231010437,0.7836921811103821,-0.08585035800933838,0.11060160398483276,0.14947791397571564,-0.038876309990882874,-0.00026676058769226074,-0.0005190074443817139,0.0002522468566894531,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.3375299423933029,0.40538572520017624,-0.06785578280687332,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.23737447708845139,0.2596999406814575,-0.022325463593006134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,slow_1Hz,normal,logit,22,0.41628428074446594,0.42372784289446747,-0.007443562150001526,0.41628428074446594,0.44663202220743353,-0.030347741462967613,1024.2424242424242,1034.848484848485,-10.606060606060597,724.2424242424242,734.8484848484849,-10.606060606060597,0.46709364584901114,0.49083099057051266,-0.023737344721501522,0.14453753558072177,0.12537775527347217,0.019159780307249588,-0.0005292316729372197,-0.0006176930936900052,8.846142075278543e-05,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.2924972596493634,0.30176979167894885,-0.009272532029585405,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.08743009242144498,0.10282402790405533,-0.015393935482610355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,slow_2Hz,normal,logit,4,0.48433487117290497,0.5725998431444168,-0.08826497197151184,0.48433487117290497,0.5725998431444168,-0.08826497197151184,785.0,760.0,25.0,485.00000000000006,460.00000000000006,25.0,0.6979180797934532,0.7838312387466431,-0.08591315895318985,0.11060366779565811,0.14947989583015442,-0.03887622803449631,-0.00019050389528274536,-0.00037994980812072754,0.00018944591283798218,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.3377037048339844,0.40562207251787186,-0.06791836768388748,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.23487380892038345,0.2564108446240425,-0.021537035703659058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,slow_2Hz,normal,logit,22,0.41626872528683057,0.4234641275622628,-0.0071954022754322396,0.41626872528683057,0.4463683068752289,-0.030099581588398327,769.3939393939395,867.878787878788,-98.4848484848485,469.39393939393943,567.8787878787879,-98.4848484848485,0.46722039444880054,0.4909812501547011,-0.023760855705900627,0.1445219801230864,0.12511403994126755,0.019407940181818874,-0.00040248307314786046,-0.00046743350950154394,6.495043635368347e-05,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.29269632629372855,0.3017419075424021,-0.009045581248673525,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.08337767697362737,0.0989137621013056,-0.015536085127678234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,rapid_10Hz,normal,logit,4,0.40722836554050446,0.4616151228547096,-0.05438675731420517,0.40722836554050446,0.4616151228547096,-0.05438675731420517,426.6666666666667,423.33333333333337,3.333333333333343,126.66666666666669,123.33333333333334,3.333333333333343,0.6981142833828926,0.7842141687870026,-0.08609988540410995,0.0334971621632576,0.038495175540447235,-0.004998013377189636,5.6996941566467285e-06,2.9802322387695312e-06,2.7194619178771973e-06,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.2555154822766781,0.30968332663178444,-0.054167844355106354,0.12347648665308952,0.11927836574614048,0.004198120906949043,0.2920941151678562,0.3143264316022396,-0.022232316434383392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,rapid_10Hz,normal,logit,22,0.33779672330076044,0.3263768350536173,0.011419888247143139,0.33779672330076044,0.3492810143665834,-0.011484291065822948,430.6060606060606,419.3939393939394,11.21212121212122,130.60606060606062,119.3939393939394,11.21212121212122,0.4676066609946164,0.49143854985860264,-0.023831888863986187,0.0660499781370163,0.028026747432622044,0.038023230704394256,-1.6216527331959117e-05,-1.0133805600079624e-05,-6.082721731879494e-06,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.19958159666169772,0.2109539590098641,-0.01137236234816638,0.08750758624889633,0.08667013895782558,0.0008374472910707647,0.1412835017015988,0.16196166080507365,-0.020678159103474834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,rapid_20Hz,normal,logit,4,0.37132857739925385,0.4201010689139366,-0.04877249151468277,0.37132857739925385,0.4201010689139366,-0.04877249151468277,405.0,398.33333333333337,6.666666666666671,105.00000000000001,98.33333333333334,6.666666666666671,0.6981144025921822,0.7842172980308533,-0.08610289543867111,-0.0024026259779930115,-0.003018878400325775,0.0006162524223327637,5.81890344619751e-06,6.109476089477539e-06,-2.905726432800293e-07,0.12451204843819141,0.12330294214189053,0.001209106296300888,0.22483721375465393,0.2687932699918747,-0.043956056237220764,0.12451204843819141,0.12330294214189053,0.001209106296300888,0.2785325422883034,0.2967195101082325,-0.018186967819929123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,rapid_20Hz,normal,logit,22,0.27360535209829157,0.2665804069150578,0.007024945183233781,0.27360535209829157,0.284609392285347,-0.011004040187055414,508.7878787878788,482.1212121212122,26.666666666666682,208.7878787878788,182.12121212121212,26.666666666666682,0.46762593496929517,0.4914527791128917,-0.02382684414359656,0.0018586069345474243,-0.03176968070593747,0.033628287640484894,3.0574473467740146e-06,4.095448689027266e-06,-1.0380013422532515e-06,0.08989926698532971,0.09069824557412755,-0.0007989785887978294,0.14412067119370808,0.15468565476211635,-0.010564983568408272,0.08989926698532971,0.09069824557412755,-0.0007989785887978294,0.18159774047407237,0.20053651759570296,-0.01893877712163058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
