cell_id,group,probe,mode,channel,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
67#4,PC_OFF,slow_step,normal,logit,0.4873245358467102,0.4873245358467102,1533.3333333333335,1233.3333333333335,0.7185412049293518,0.11433732509613037,-0.00027680397033691406,0.11103956401348114,0.35011589527130127,0.11103956401348114,0.25788092613220215,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_1Hz,normal,logit,0.4873247742652893,0.4873247742652893,1033.3333333333335,733.3333333333335,0.7185760140419006,0.11433756351470947,-0.00024199485778808594,0.11103956401348114,0.3501245379447937,0.11103956401348114,0.25788414478302,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_2Hz,normal,logit,0.4873291850090027,0.4873291850090027,786.6666666666667,486.66666666666674,0.7186449766159058,0.11434197425842285,-0.00017303228378295898,0.11103956401348114,0.350286066532135,0.11103956401348114,0.25522151589393616,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_10Hz,normal,logit,0.41239994764328003,0.41239994764328003,420.0,120.0,0.71882164478302,0.039412736892700195,3.635883331298828e-06,0.11103956401348114,0.2783146798610687,0.11103956401348114,0.28385812044143677,0.0,0.0,0.0,0.0
67#4,PC_OFF,rapid_20Hz,normal,logit,0.3779730796813965,0.3779730796813965,426.6666666666667,126.66666666666669,0.7188224792480469,0.00498586893081665,4.470348358154297e-06,0.1119629442691803,0.24728305637836456,0.1119629442691803,0.25984498858451843,0.0,0.0,0.0,0.0
67#4,PC_OFF,transient_50ms,normal,logit,0.44397586584091187,0.44397586584091187,1373.3333333333335,1073.3333333333335,0.7188052535057068,0.07098865509033203,-1.2755393981933594e-05,0.11103956401348114,0.23544415831565857,0.11103956401348114,0.27196308970451355,0.0,0.0,0.0,0.0
67#4,PC_OFF,large_field_50ms,normal,logit,0.25656139850616455,0.25656139850616455,353.33333333333337,53.33333333333337,1.9868215961338365e-09,-0.06989318132400513,2.7815502123829106e-09,0.11089387536048889,0.15040042996406555,0.11089387536048889,0.15040042996406555,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_step,normal,probability,0.10605213046073914,0.10605213046073914,1533.3333333333335,1233.3333333333335,0.15383952856063843,0.026461035013198853,0.0009020864963531494,0.022902067750692368,0.07497738301753998,0.022902067750692368,0.05388868972659111,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_1Hz,normal,probability,0.10605219006538391,0.10605219006538391,1033.3333333333335,733.3333333333335,0.15377451479434967,0.026461094617843628,0.0008370727300643921,0.022902067750692368,0.07497936487197876,0.022902067750692368,0.05388939753174782,0.0,0.0,0.0,0.0
67#4,PC_OFF,slow_2Hz,normal,probability,0.10605320334434509,0.10605320334434509,786.6666666666667,486.66666666666674,0.1536419689655304,0.02646210789680481,0.0007045269012451172,0.022902067750692368,0.07501598447561264,0.022902067750692368,0.05329480767250061,0.0,0.0,0.0,0.0
