cell_id,group,probe,mode,channel,event_index,onset_ms,duration_ms,sign,onset_response_50ms,offset_response_50ms
67#4,PC_OFF,slow_step,normal,logit,0,300.0,1000.0,1.0,0.11103956401348114,0.25788092613220215
67#4,PC_OFF,slow_step,normal,logit,1,1300.0,1000.0,-1.0,0.25788092613220215,0.35011589527130127
67#4,PC_OFF,slow_1Hz,normal,logit,0,300.0,500.0,1.0,0.11103956401348114,0.25788414478302
67#4,PC_OFF,slow_1Hz,normal,logit,1,800.0,500.0,-1.0,0.25788414478302,0.46063798666000366
67#4,PC_OFF,slow_1Hz,normal,logit,2,1300.0,500.0,1.0,0.46063798666000366,0.25787216424942017
67#4,PC_OFF,slow_1Hz,normal,logit,3,1800.0,500.0,-1.0,0.25787216424942017,0.3501245379447937
67#4,PC_OFF,slow_2Hz,normal,logit,0,300.0,250.0,1.0,0.11103956401348114,0.25522151589393616
67#4,PC_OFF,slow_2Hz,normal,logit,1,550.0,250.0,-1.0,0.25522151589393616,0.46081265807151794
67#4,PC_OFF,slow_2Hz,normal,logit,2,800.0,250.0,1.0,0.46081265807151794,0.2549562454223633
67#4,PC_OFF,slow_2Hz,normal,logit,3,1050.0,250.0,-1.0,0.2549562454223633,0.46080103516578674
67#4,PC_OFF,slow_2Hz,normal,logit,4,1300.0,250.0,1.0,0.46080103516578674,0.2549557387828827
67#4,PC_OFF,slow_2Hz,normal,logit,5,1550.0,250.0,-1.0,0.2549557387828827,0.46080100536346436
67#4,PC_OFF,slow_2Hz,normal,logit,6,1800.0,250.0,1.0,0.46080100536346436,0.2549557387828827
67#4,PC_OFF,slow_2Hz,normal,logit,7,2050.0,250.0,-1.0,0.2549557387828827,0.350286066532135
67#4,PC_OFF,rapid_10Hz,normal,logit,0,300.0,50.0,1.0,0.11103956401348114,0.28385812044143677
67#4,PC_OFF,rapid_10Hz,normal,logit,1,350.0,50.0,-1.0,0.28385812044143677,0.39078405499458313
67#4,PC_OFF,rapid_10Hz,normal,logit,2,400.0,50.0,1.0,0.39078405499458313,0.32641980051994324
67#4,PC_OFF,rapid_10Hz,normal,logit,3,450.0,50.0,-1.0,0.32641980051994324,0.38935938477516174
67#4,PC_OFF,rapid_10Hz,normal,logit,4,500.0,50.0,1.0,0.38935938477516174,0.3257911503314972
67#4,PC_OFF,rapid_10Hz,normal,logit,5,550.0,50.0,-1.0,0.3257911503314972,0.3890625536441803
67#4,PC_OFF,rapid_10Hz,normal,logit,6,600.0,50.0,1.0,0.3890625536441803,0.32564160227775574
67#4,PC_OFF,rapid_10Hz,normal,logit,7,650.0,50.0,-1.0,0.32564160227775574,0.3889833986759186
