cell_id,recording_count,recording_ids,recorded_cell_classes,retinal_class,canonical_cell_type,polarity,recording_kinds,biological_trials,train_sequences,validation_sequences,train_valid_bins,validation_valid_bins,native_dt_ms,validation_nll_raw,validation_nll_trained,nll_improvement,prediction_improved
67#4,1,"('lSS01071',)","('-M+Loff',)",PC,midget,OFF,"('10min',)",1,16,4,1920,480,6.666666666666667,0.5352792143821716,0.4841122627258301,0.05116695165634155,True
67#6,2,"('lSS01078', 'lSS01079')","('MC off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5864212512969971,0.46408164501190186,0.12233960628509521,True
67#7,2,"('lSS01086', 'lSS01087')","('MC on',)",MC,parasol,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5268616676330566,0.4680718779563904,0.05878978967666626,True
67#14,2,"('lSS01110', 'lSS01112')","('+L-Mon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.42813822627067566,0.38224947452545166,0.045888751745224,True
67#21,2,"('lSS01130', 'lSS01131')","('+M-Lon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.34602755308151245,0.3243543207645416,0.021673232316970825,True
67#26,2,"('lSS01141', 'lSS01142')","('+M-Lon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.6085563898086548,0.5387109518051147,0.06984543800354004,True
67#33,2,"('lSS01159', 'lSS01160')","('MC off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5419827699661255,0.42171624302864075,0.12026652693748474,True
67#34,2,"('lSS01167', 'lSS01168')","('+L-Mon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4196265935897827,0.3927723467350006,0.026854246854782104,True
68#3,2,"('lSS01181', 'lSS01183')","('MC off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.7227365970611572,0.532558262348175,0.19017833471298218,True
68#4,1,"('lSS01184',)","('+L-Mon',)",PC,midget,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.6161201000213623,0.45166701078414917,0.16445308923721313,True
68#7,2,"('lSS01194', 'lSS01196')","('+L-Mon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4046873152256012,0.3927496671676636,0.011937648057937622,True
68#10,1,"('lSS01221',)","('MC on',)",MC,parasol,ON,"('10min',)",1,16,4,1920,480,6.666666666666667,0.44886794686317444,0.4256708323955536,0.02319711446762085,True
68#11,2,"('lSS01225', 'lSS01227')","('-M+Loff',)",PC,midget,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4402818977832794,0.39242833852767944,0.047853559255599976,True
69#3,2,"('lSS01251', 'lSS01252')","('+M-Loff',)",PC,midget,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.7203995585441589,0.5675764679908752,0.1528230905532837,True
69#4,1,"('lSS01254',)","('MC on',)",MC,parasol,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.5168816447257996,0.4420666992664337,0.07481494545936584,True
69#6,2,"('lSS01256', 'lSS01257')","('M off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.554162323474884,0.45485395193099976,0.09930837154388428,True
69#7,2,"('lSS01258', 'lSS01259')","('M on',)",MC,parasol,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5482045412063599,0.4739486575126648,0.07425588369369507,True
69#21,1,"('lSS01270',)","('-L+Moff',)",PC,midget,OFF,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.5810046792030334,0.5180193185806274,0.062985360622406,True
70#1,1,"('lSS01278',)","('+M-Lon',)",PC,midget,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.6767607927322388,0.562501847743988,0.11425894498825073,True
70#7,2,"('lSS01284', 'lSS01285')","('+M-Lon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5335279107093811,0.4822358191013336,0.051292091608047485,True
70#15,1,"('lSS01287',)","('+M-Lon',)",PC,midget,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.46547752618789673,0.4386668801307678,0.026810646057128906,True
70#34,2,"('lSS01299', 'lSS01300')","('MC on',)",MC,parasol,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.44119513034820557,0.3991176187992096,0.04207751154899597,True
