cell_id,group,condition,mode,offset_ms,peak_response_probability,peak_response_logit,peak_latency_ms_probability,peak_latency_ms_logit,response_integral_probability_s,response_integral_logit_s,integral_change_vs_center_only,integral_fraction_vs_center_only,peak_change_vs_center_only,peak_fraction_vs_center_only,center_onset_response,center_offset_response,surround_onset_response,surround_offset_response
67#4,PC_OFF,center_only,normal,,0.16509243845939636,0.7347607016563416,400.0,400.0,0.016137726604938507,0.07418955862522125,0.0,0.0,0.0,0.0,0.040366314351558685,0.12104621529579163,,
67#4,PC_OFF,surround_only,normal,,-0.082670658826828,-0.4746830463409424,413.33333333333337,413.33333333333337,-0.009413886815309525,-0.05210384353995323,-0.02555161342024803,-1.583346529890317,-0.24776309728622437,-1.500753757096879,,,-0.010999426245689392,-0.07579829543828964
67#4,PC_OFF,surround_then_center_100ms,normal,-100.0,0.14935266971588135,0.6703855395317078,406.6666666666667,406.6666666666667,0.005869023501873016,0.022106759250164032,-0.01026870310306549,-0.6363165862484643,-0.015739768743515015,-0.09533912570675446,-0.04253902658820152,0.11328987777233124,-0.010999452322721481,-0.04253902658820152
67#4,PC_OFF,surround_then_center_50ms,normal,-50.0,0.09657159447669983,0.448616623878479,406.6666666666667,406.6666666666667,0.004847660195082426,0.02218398079276085,-0.011290066409856081,-0.6996069946061093,-0.06852084398269653,-0.41504532019828927,-0.025218993425369263,0.07642151415348053,-0.010261030867695808,0.03421786427497864
67#4,PC_OFF,center_surround_simultaneous,normal,0.0,0.060460031032562256,0.28920161724090576,400.0,400.0,0.00464972946792841,0.022207913920283318,-0.011487997137010098,-0.7118720881970149,-0.1046324074268341,-0.633780737647581,0.027696948498487473,0.024964746087789536,0.027696948498487473,0.024964746087789536
67#4,PC_OFF,center_then_surround_50ms,normal,50.0,0.1268148124217987,0.5769744515419006,380.0,380.0,0.005589216481894255,0.022160107269883156,-0.010548510123044252,-0.6536552750754974,-0.038277626037597656,-0.23185571910376648,0.040366314351558685,0.04861804470419884,0.11980884522199631,-0.05345236137509346
67#4,PC_OFF,center_then_surround_100ms,normal,100.0,0.16509243845939636,0.7347607016563416,400.0,400.0,0.006454047746956348,0.022129883989691734,-0.009683678857982159,-0.6000646246552929,0.0,0.0,0.040366314351558685,0.10821153223514557,0.10821153223514557,-0.07584262639284134
67#4,PC_OFF,center_only,H1_off,,0.1652270257472992,0.7353085875511169,400.0,400.0,0.016151372343301773,0.07424769550561905,0.0,0.0,0.0,0.0,0.04038667678833008,0.12116461992263794,,
67#4,PC_OFF,surround_only,H1_off,,-0.08247993886470795,-0.47342443466186523,413.33333333333337,413.33333333333337,-0.00939369760453701,-0.05197937414050102,-0.025545069947838783,-1.581603680781511,-0.24770696461200714,-1.499191572877757,,,-0.010960312560200691,-0.07563024014234543
67#4,PC_OFF,surround_then_center_100ms,H1_off,-100.0,0.14949044585227966,0.6709519624710083,406.6666666666667,406.6666666666667,0.005904120858758688,0.022289684042334557,-0.010247251484543085,-0.634450823542111,-0.01573657989501953,-0.09524216649089419,-0.04233577847480774,0.11339916288852692,-0.010960329324007034,-0.04233577847480774
67#4,PC_OFF,surround_then_center_50ms,H1_off,-50.0,0.09683576226234436,0.4497556686401367,406.6666666666667,406.6666666666667,0.004885458387434483,0.022367257624864578,-0.01126591395586729,-0.6975205398282729,-0.06839126348495483,-0.41392298369852343,-0.02502685971558094,0.07661443948745728,-0.010223597288131714,0.034538861364126205
67#4,PC_OFF,center_surround_simultaneous,H1_off,0.0,0.060851722955703735,0.2909747362136841,400.0,400.0,0.004688444081693888,0.022391196340322495,-0.011462928261607885,-0.7097185315253871,-0.10437530279159546,-0.6317084164622602,0.02776181697845459,0.025295961648225784,0.02776181697845459,0.025295961648225784
