cell_id,recording_count,recording_ids,recorded_cell_classes,retinal_class,canonical_cell_type,polarity,recording_kinds,biological_trials,train_sequences,validation_sequences,train_valid_bins,validation_valid_bins,native_dt_ms,validation_nll_raw,validation_nll_trained,nll_improvement,prediction_improved
67#4,1,"('lSS01071',)","('-M+Loff',)",PC,midget,OFF,"('10min',)",1,16,4,1920,480,6.666666666666667,0.5582600235939026,0.47445762157440186,0.08380240201950073,True
67#6,2,"('lSS01078', 'lSS01079')","('MC off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.6106244921684265,0.4906000792980194,0.1200244128704071,True
67#7,2,"('lSS01086', 'lSS01087')","('MC on',)",MC,parasol,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5488085746765137,0.4750230610370636,0.07378551363945007,True
67#14,2,"('lSS01110', 'lSS01112')","('+L-Mon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4700034260749817,0.39362919330596924,0.07637423276901245,True
67#21,2,"('lSS01130', 'lSS01131')","('+M-Lon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.3628455698490143,0.32034599781036377,0.04249957203865051,True
67#26,2,"('lSS01141', 'lSS01142')","('+M-Lon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5989362597465515,0.5325149297714233,0.06642132997512817,True
67#33,2,"('lSS01159', 'lSS01160')","('MC off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5770063996315002,0.4462091326713562,0.13079726696014404,True
67#34,2,"('lSS01167', 'lSS01168')","('+L-Mon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4576031267642975,0.4020289480686188,0.05557417869567871,True
68#3,2,"('lSS01181', 'lSS01183')","('MC off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.7838957905769348,0.5623210072517395,0.2215747833251953,True
68#4,1,"('lSS01184',)","('+L-Mon',)",PC,midget,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.5497139692306519,0.4299147427082062,0.11979922652244568,True
68#7,2,"('lSS01194', 'lSS01196')","('+L-Mon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4294581115245819,0.39208224415779114,0.03737586736679077,True
68#10,1,"('lSS01221',)","('MC on',)",MC,parasol,ON,"('10min',)",1,16,4,1920,480,6.666666666666667,0.45956140756607056,0.416246622800827,0.04331478476524353,True
68#11,2,"('lSS01225', 'lSS01227')","('-M+Loff',)",PC,midget,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.4512936472892761,0.3899756371974945,0.061318010091781616,True
69#3,2,"('lSS01251', 'lSS01252')","('+M-Loff',)",PC,midget,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.8062272667884827,0.5775392055511475,0.2286880612373352,True
69#4,1,"('lSS01254',)","('MC on',)",MC,parasol,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.5482614040374756,0.4549644887447357,0.09329691529273987,True
69#6,2,"('lSS01256', 'lSS01257')","('M off',)",MC,parasol,OFF,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5948066115379333,0.47513800859451294,0.11966860294342041,True
69#7,2,"('lSS01258', 'lSS01259')","('M on',)",MC,parasol,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5602722764015198,0.4820563495159149,0.07821592688560486,True
69#21,1,"('lSS01270',)","('-L+Moff',)",PC,midget,OFF,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.5974661707878113,0.5118799805641174,0.08558619022369385,True
70#1,1,"('lSS01278',)","('+M-Lon',)",PC,midget,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.6443992257118225,0.5522076487541199,0.09219157695770264,True
70#7,2,"('lSS01284', 'lSS01285')","('+M-Lon',)",PC,midget,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.5373879075050354,0.48978567123413086,0.04760223627090454,True
70#15,1,"('lSS01287',)","('+M-Lon',)",PC,midget,ON,"('6x1min',)",6,96,24,11520,2880,6.666666666666667,0.4610804319381714,0.43674740195274353,0.024333029985427856,True
70#34,2,"('lSS01299', 'lSS01300')","('MC on',)",MC,parasol,ON,"('6x1min', '10min')",7,112,28,13440,3360,6.666666666666667,0.46179619431495667,0.41188251972198486,0.0499136745929718,True
