family,variant,target,ring,n_pixels,original_mean_LM,variant_mean_LM,mean_delta,original_std_LM,variant_std_LM,std_delta,min_LM,max_LM,fraction_dark,fraction_target_gray,fraction_bright,sorted_histogram_max_abs_error,pixelwise_changed_count
White,remote_contour_rearrangement,A,disk_0_2px,13,0.9615384615384616,0.9615384615384616,0.0,0.09020030307352749,0.09020030307352749,0.0,0.75,1.0,0.15384615384615385,0.8461538461538461,0.0,0.0,0
White,remote_contour_rearrangement,A,annulus_2_4px,36,0.8472222222222222,0.8472222222222222,0.0,0.14764091406575897,0.14764091406575897,0.0,0.75,1.25,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.0,0
White,remote_contour_rearrangement,A,annulus_4_6px,64,0.96875,0.96875,0.0,0.24803918541230538,0.24803918541230538,0.0,0.75,1.25,0.5625,0.0,0.4375,0.0,16
White,remote_contour_rearrangement,A,annulus_6_8px,84,1.0952380952380953,1.0952380952380953,0.0,0.23114866474937606,0.2311486647493761,2.7755575615628914e-17,0.75,1.25,0.30952380952380953,0.0,0.6904761904761905,0.0,40
White,remote_contour_rearrangement,A,annulus_8_11.313708498984761px,92,0.9891304347826086,0.9891304347826086,0.0,0.24976359332774042,0.24976359332774048,5.551115123125783e-17,0.75,1.25,0.5217391304347826,0.0,0.4782608695652174,0.0,40
White,remote_contour_rearrangement,B,disk_0_2px,13,1.0384615384615385,1.0384615384615385,0.0,0.0902003030735275,0.0902003030735275,0.0,1.0,1.25,0.0,0.8461538461538461,0.15384615384615385,0.0,0
White,remote_contour_rearrangement,B,annulus_2_4px,36,1.1527777777777777,1.1527777777777777,0.0,0.147640914065759,0.147640914065759,0.0,0.75,1.25,0.05555555555555555,0.2777777777777778,0.6666666666666666,0.0,0
White,remote_contour_rearrangement,B,annulus_4_6px,64,1.03125,1.03125,0.0,0.24803918541230538,0.24803918541230538,0.0,0.75,1.25,0.4375,0.0,0.5625,0.0,16
White,remote_contour_rearrangement,B,annulus_6_8px,84,0.9047619047619048,0.9047619047619048,0.0,0.23114866474937615,0.2311486647493761,-5.551115123125783e-17,0.75,1.25,0.6904761904761905,0.0,0.30952380952380953,0.0,40
White,remote_contour_rearrangement,B,annulus_8_11.313708498984761px,92,1.0108695652173914,1.0108695652173914,0.0,0.24976359332774042,0.24976359332774048,5.551115123125783e-17,0.75,1.25,0.4782608695652174,0.0,0.5217391304347826,0.0,40
White,remote_contour_rearrangement,control_A,disk_0_2px,13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_A,annulus_2_4px,36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_A,annulus_4_6px,64,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_A,annulus_6_8px,84,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_A,annulus_8_11.313708498984761px,92,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_B,disk_0_2px,13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_B,annulus_2_4px,36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_B,annulus_4_6px,64,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_B,annulus_6_8px,84,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
White,remote_contour_rearrangement,control_B,annulus_8_11.313708498984761px,92,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
Hermann,contour_rearrangement,A,disk_0_2px,13,1.25,1.25,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,1.0,0.0,0
Hermann,contour_rearrangement,A,annulus_2_4px,36,1.0833333333333333,1.0833333333333333,0.0,0.23570226039551592,0.23570226039551592,0.0,0.75,1.25,0.3333333333333333,0.0,0.6666666666666666,0.0,0
Hermann,contour_rearrangement,A,annulus_4_6px,64,0.9375,0.9375,0.0,0.24206145913796356,0.24206145913796356,0.0,0.75,1.25,0.625,0.0,0.375,0.0,8
Hermann,contour_rearrangement,A,annulus_6_8px,84,0.8928571428571429,0.8928571428571429,0.0,0.2258769757263126,0.22587697572631266,5.551115123125783e-17,0.75,1.25,0.7142857142857143,0.0,0.2857142857142857,0.0,8
Hermann,contour_rearrangement,A,annulus_8_11.313708498984761px,92,0.7934782608695652,0.7934782608695652,0.0,0.1408856673566927,0.14088566735669267,-2.7755575615628914e-17,0.75,1.25,0.9130434782608695,0.0,0.08695652173913043,0.0,16
Hermann,contour_rearrangement,B,disk_0_2px,13,1.1730769230769231,1.1730769230769231,0.0,0.18040060614705503,0.18040060614705503,0.0,0.75,1.25,0.15384615384615385,0.0,0.8461538461538461,0.0,0
Hermann,contour_rearrangement,B,annulus_2_4px,36,0.9166666666666666,0.9166666666666666,0.0,0.2357022603955158,0.2357022603955158,0.0,0.75,1.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0
Hermann,contour_rearrangement,B,annulus_4_6px,64,0.84375,0.84375,0.0,0.19515618744994995,0.19515618744994995,0.0,0.75,1.25,0.8125,0.0,0.1875,0.0,16
Hermann,contour_rearrangement,B,annulus_6_8px,84,0.8690476190476191,0.8690476190476191,0.0,0.2129588549999798,0.2129588549999799,1.1102230246251565e-16,0.75,1.25,0.7619047619047619,0.0,0.23809523809523808,0.0,28
Hermann,contour_rearrangement,B,annulus_8_11.313708498984761px,92,1.0326086956521738,1.0326086956521738,0.0,0.2478642228476387,0.24786422284763865,-5.551115123125783e-17,0.75,1.25,0.43478260869565216,0.0,0.5652173913043478,0.0,36
Hermann,contour_rearrangement,control_A,disk_0_2px,13,1.1730769230769231,1.1730769230769231,0.0,0.18040060614705503,0.18040060614705503,0.0,0.75,1.25,0.15384615384615385,0.0,0.8461538461538461,0.0,0
Hermann,contour_rearrangement,control_A,annulus_2_4px,36,0.9166666666666666,0.9166666666666666,0.0,0.2357022603955158,0.2357022603955158,0.0,0.75,1.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0
Hermann,contour_rearrangement,control_A,annulus_4_6px,64,0.84375,0.84375,0.0,0.19515618744994995,0.19515618744994995,0.0,0.75,1.25,0.8125,0.0,0.1875,0.0,16
