group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,R4_normal,logit,White,remote_contour_rearrangement,variant_minus_original,4,-3.8957595535293876e-05,-7.283687591552734e-05,7.283687591552734e-05,109.99998474121094,-7.138649622599285e-06,-1.4580786228179932e-05,-5.7462602853775024e-05,0,4,0
all,R4_normal,logit,White,remote_contour_rearrangement,variant_minus_original,22,1.256736872144095e-05,4.293160005049272e-05,0.00012346289374611595,112.72726301713423,4.357514959393126e-06,-2.1742148832841354e-07,4.014846953478727e-05,13,9,0
PC_OFF,R4_normal,probability,White,remote_contour_rearrangement,variant_minus_original,4,-8.480995710158368e-06,-1.574307680130005e-05,1.574307680130005e-05,109.99999237060547,-1.5392154455184937e-06,-3.1874515116214752e-06,-1.2376811355352402e-05,0,4,0
all,R4_normal,probability,White,remote_contour_rearrangement,variant_minus_original,22,1.1083077411781646e-06,4.63358380577781e-06,1.911209388212724e-05,113.33332408558239,4.816642313292532e-07,-2.3084099997173657e-07,4.444609988819469e-06,13,9,0
PC_OFF,R4_normal,logit,Hermann,contour_rearrangement,variant_minus_original,4,-9.829799623162216e-06,-1.7717480659484863e-05,1.7717480659484863e-05,104.99998474121094,-1.5334288279215495e-06,-3.855675458908081e-06,-1.2310221791267395e-05,0,4,0
all,R4_normal,logit,Hermann,contour_rearrangement,variant_minus_original,22,2.189838454569326e-06,-3.32431359724565e-06,3.008138049732555e-05,118.7878681529652,2.733505133426551e-07,-1.3106248595497824e-07,3.921376033262773e-06,13,9,0
PC_OFF,R4_normal,probability,Hermann,contour_rearrangement,variant_minus_original,4,-2.0846723458589622e-06,-3.810971975326538e-06,3.810971975326538e-06,111.66665649414062,-3.2853335142135625e-07,-8.046627044677734e-07,-2.7383212000131607e-06,0,4,0
all,R4_normal,probability,Hermann,contour_rearrangement,variant_minus_original,22,5.8114535890622806e-08,-9.143894368951971e-07,4.488636146892201e-06,119.393930608576,-1.4433806592767895e-08,-4.6312131664969704e-08,-1.0947273536161943e-07,13,9,0
PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-11,model_minus_LN,4,0.00019754668768712236,0.00031325221061706543,0.0003140568733215332,68.33331298828125,2.882927656173706e-05,0.00013475771993398666,8.174218237400055e-05,3,1,0
