group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,R4_normal,logit,Mach,Mach_x-12,response_minus_blank,4,0.187380013987422,0.28356608748435974,0.28356608748435974,64.99999237060547,0.0218107670545578,0.11751538515090942,0.11286448314785957,4,0,0
all,R4_normal,logit,Mach,Mach_x-12,response_minus_blank,22,0.01571952983398329,0.10148572379892523,0.2125951972874728,72.72726301713423,0.004694736365116004,0.0012107670984484932,0.04401819882067767,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-12,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-12,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-11,response_minus_blank,4,0.1873798742890358,0.2835659682750702,0.2835659682750702,64.99999237060547,0.02181071956952413,0.11751534417271614,0.11286409571766853,4,0,0
all,R4_normal,logit,Mach,Mach_x-11,response_minus_blank,22,0.015719666611403227,0.10148688879880038,0.21259635145013983,72.72726301713423,0.004694826928052035,0.0012107704850760374,0.04401890696449713,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-11,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-11,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-10,response_minus_blank,4,0.18737892620265484,0.28356532007455826,0.28356532007455826,64.99999237060547,0.02181032101313273,0.11751514486968517,0.11286085657775402,4,0,0
all,R4_normal,logit,Mach,Mach_x-10,response_minus_blank,22,0.015720704993741078,0.10149545696648685,0.2126049196178263,72.72726301713423,0.004695582714947787,0.0012108212844891982,0.04402472925457088,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-10,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-10,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-09,response_minus_blank,4,0.18737722374498844,0.28356581926345825,0.28356581926345825,64.99999237060547,0.021808901429176332,0.11751525104045868,0.11284922435879707,4,0,0
all,R4_normal,logit,Mach,Mach_x-09,response_minus_blank,22,0.015724373854358088,0.10152861746874722,0.21263908798044379,72.72726301713423,0.00469873460856351,0.0012110525911504571,0.04404822330583225,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-09,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-09,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-08,response_minus_blank,4,0.18738186173141003,0.2835799381136894,0.2835799381136894,64.99999237060547,0.021806071798006695,0.11751945316791534,0.11282585747539997,4,0,0
all,R4_normal,logit,Mach,Mach_x-08,response_minus_blank,22,0.01573208753358234,0.101615386930379,0.2127325331622904,72.72726301713423,0.004707462751504147,0.0012117841026999733,0.04411054097793319,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-08,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-08,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-07,response_minus_blank,4,0.18741966411471367,0.2836477756500244,0.2836477756500244,64.99999237060547,0.021803710460662845,0.1175399050116539,0.11280539631843567,4,0,0
all,R4_normal,logit,Mach,Mach_x-07,response_minus_blank,22,0.01574088472195647,0.10178534280170094,0.21292767470533197,72.72726301713423,0.004725448471127134,0.001213656569069082,0.04423117163506421,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-07,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-07,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-06,response_minus_blank,4,0.18754758313298225,0.2838490456342697,0.2838490456342697,64.99999237060547,0.02180804491043091,0.11760077811777592,0.1128372997045517,4,0,0
all,R4_normal,logit,Mach,Mach_x-06,response_minus_blank,22,0.015739086041734976,0.10204950787804344,0.21325977823951028,72.72726301713423,0.004754968032692418,0.0012175285003402016,0.04441144181923433,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-06,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-06,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-05,response_minus_blank,4,0.19012521021068096,0.28743938356637955,0.28743938356637955,68.33332824707031,0.022467957536379497,0.11847956478595734,0.11828428506851196,4,0,0
all,R4_normal,logit,Mach,Mach_x-05,response_minus_blank,22,0.01408386772329157,0.08804761144247922,0.21110541034828534,69.69696183638139,0.004395322799682617,0.0006753348491408608,0.04133376817811619,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-05,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-05,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-04,response_minus_blank,4,0.18643217347562313,0.2820146679878235,0.2820146679878235,69.99999237060547,0.022848778565724693,0.11460170336067677,0.12466004677116871,4,0,0
all,R4_normal,logit,Mach,Mach_x-04,response_minus_blank,22,0.010644132356074724,0.05665500326590105,0.2004899951544675,61.21211242675781,0.003548143776980314,-0.00027532435276291585,0.03400109742175449,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-04,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-04,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-03,response_minus_blank,4,0.14334773644804955,0.2167118787765503,0.2167118787765503,68.33332824707031,0.01702528576056163,0.08912139758467674,0.09013970382511616,4,0,0
all,R4_normal,logit,Mach,Mach_x-03,response_minus_blank,22,0.010164727414534851,0.05047762935811823,0.1584871302951466,65.15150729092684,0.0032235898935433593,0.0003751729699698362,0.030344360254027626,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-03,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-03,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-02,response_minus_blank,4,0.09394622314721346,0.1422138661146164,0.1422138661146164,64.99999237060547,0.010915859043598177,0.058870453387498856,0.05649850144982338,4,0,0
all,R4_normal,logit,Mach,Mach_x-02,response_minus_blank,22,0.007892677962610667,0.051341642032970085,0.10701937025243585,72.72726301713423,0.0024095770806977245,0.0006155906753106551,0.022418043152852493,9,13,0
PC_OFF,R4_normal,logit,Mach,Mach_x-02,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,R4_normal,logit,Mach,Mach_x-02,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,R4_normal,logit,Mach,Mach_x-01,response_minus_blank,4,0.04695307835936546,0.07108384370803833,0.07108384370803833,64.99999237060547,0.00545706460873286,0.029423845931887627,0.02823963761329651,4,0,0
all,R4_normal,logit,Mach,Mach_x-01,response_minus_blank,22,0.003957283069294962,0.025661668994209984,0.053487533872777764,72.72726301713423,0.001202511570670388,0.00030792707746679133,0.011204142462123524,9,13,0
