cell_id,group,mode,channel,profile,region,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
67#4,PC_OFF,R4_normal,logit,ramp,dark_boundary,0.0013657808303833008,0.0,0.0013657808303833008,0.2803405523300171,-5,-2
67#4,PC_OFF,R4_normal,logit,ramp,bright_boundary,0.0,-0.0013657808303833008,-0.28034085035324097,-0.0013657808303833008,2,5
67#4,PC_OFF,R4_normal,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.2803303599357605,-6,-2
67#4,PC_OFF,R4_normal,logit,matched_uniform,bright_boundary,0.0,0.0,-0.2803303599357605,0.0,2,4
67#4,PC_OFF,R4_normal,probability,ramp,dark_boundary,0.0003046989440917969,0.0,0.0003046989440917969,0.05499620735645294,-5,-2
67#4,PC_OFF,R4_normal,probability,ramp,bright_boundary,0.0,-0.00024269521236419678,-0.05799984931945801,-0.00024269521236419678,2,5
67#4,PC_OFF,R4_normal,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.05499403178691864,-6,-2
67#4,PC_OFF,R4_normal,probability,matched_uniform,bright_boundary,0.0,0.0,-0.05799785256385803,0.0,2,4
67#4,PC_OFF,R4_H1_off,logit,ramp,dark_boundary,0.0013405680656433105,0.0,0.0013405680656433105,0.28071218729019165,-5,-2
67#4,PC_OFF,R4_H1_off,logit,ramp,bright_boundary,0.0,-0.0013405084609985352,-0.2807121276855469,-0.0013405084609985352,2,5
67#4,PC_OFF,R4_H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.28071218729019165,-6,-2
67#4,PC_OFF,R4_H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,-0.2807121276855469,0.0,2,4
67#4,PC_OFF,R4_H1_off,probability,ramp,dark_boundary,0.00029918551445007324,0.0,0.00029918551445007324,0.05506640672683716,-5,-2
67#4,PC_OFF,R4_H1_off,probability,ramp,bright_boundary,0.0,-0.00023815035820007324,-0.05807873606681824,-0.00023815035820007324,2,5
67#4,PC_OFF,R4_H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.05506640672683716,-6,-2
67#4,PC_OFF,R4_H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,-0.05807873606681824,0.0,2,4
67#4,PC_OFF,R4_AC_off,logit,ramp,dark_boundary,3.1888484954833984e-05,0.0,3.1888484954833984e-05,0.3523285984992981,-5,-2
67#4,PC_OFF,R4_AC_off,logit,ramp,bright_boundary,0.0,-3.1828880310058594e-05,-0.35232841968536377,-3.1828880310058594e-05,2,5
67#4,PC_OFF,R4_AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.35231488943099976,-6,-2
67#4,PC_OFF,R4_AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,-0.3523150682449341,0.0,2,4
67#4,PC_OFF,R4_AC_off,probability,ramp,dark_boundary,7.241964340209961e-06,0.0,7.241964340209961e-06,0.06848619878292084,-5,-2
67#4,PC_OFF,R4_AC_off,probability,ramp,bright_boundary,0.0,-5.379319190979004e-06,-0.07335755228996277,-5.379319190979004e-06,2,5
67#4,PC_OFF,R4_AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.06848330795764923,-6,-2
