cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean
67#4,PC_OFF,R4_normal,logit,White,remote_contour_rearrangement,variant_minus_original,-1.3669331337951007e-06,-3.5762786865234375e-06,3.5762786865234375e-06,113.33331298828125,-4.069010416666667e-07,-4.023313522338867e-07,-3.2782554626464844e-06
67#4,PC_OFF,R4_normal,probability,White,remote_contour_rearrangement,variant_minus_original,-2.702077210869902e-07,-7.152557373046875e-07,7.152557373046875e-07,106.66665649414062,-8.165836334228516e-08,-7.450580596923828e-08,-6.593763828277588e-07
67#4,PC_OFF,R4_normal,logit,Hermann,contour_rearrangement,variant_minus_original,-3.5762786865234375e-07,-9.5367431640625e-07,9.5367431640625e-07,113.33331298828125,-1.0172526041666667e-07,-1.1920928955078125e-07,-8.270144462585449e-07
67#4,PC_OFF,R4_normal,probability,Hermann,contour_rearrangement,variant_minus_original,-6.953874986947994e-08,-1.7881393432617188e-07,1.7881393432617188e-07,113.33331298828125,-1.9371509552001954e-08,-2.421438694000244e-08,-1.5832483768463135e-07
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-11,model_minus_LN,0.0007171710603870451,0.0011356472969055176,0.0011356472969055176,53.33331298828125,0.00010407725969950359,0.0004884675145149231,0.0002969875931739807
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-11,model_minus_LN,0.00015611251001246274,0.00025269389152526855,0.00025269389152526855,53.33331298828125,2.260903517405192e-05,0.00010436773300170898,6.545893847942352e-05
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-10,model_minus_LN,0.0027425766456872225,0.004346668720245361,0.004346668720245361,53.33331298828125,0.0003938718636830648,0.0018573850393295288,0.0011706799268722534
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-10,model_minus_LN,0.0005969107151031494,0.0009666085243225098,0.0009666085243225098,53.33331298828125,8.563319842020671e-05,0.0003970116376876831,0.000257713720202446
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-09,model_minus_LN,0.006962521933019161,0.011049151420593262,0.011049151420593262,53.33331298828125,0.0009843536218007405,0.004675246775150299,0.003103494644165039
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-09,model_minus_LN,0.001514605712145567,0.002454310655593872,0.002454310655593872,53.33331298828125,0.00021423051754633588,0.0009996108710765839,0.0006818342953920364
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-08,model_minus_LN,0.014564577490091324,0.023151695728302002,0.023151695728302002,53.33331298828125,0.0020164994398752852,0.009670056402683258,0.00685332715511322
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-08,model_minus_LN,0.003164700698107481,0.005132198333740234,0.005132198333740234,53.33331298828125,0.0004392596085866293,0.0020674653351306915,0.0015010721981525421
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-07,model_minus_LN,0.026927387341856956,0.04288512468338013,0.04288512468338013,53.33331298828125,0.0036377485593159994,0.017644725739955902,0.01343904435634613
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-07,model_minus_LN,0.005837913136929274,0.009474724531173706,0.009474724531173706,53.33331298828125,0.0007925784587860108,0.0037692636251449585,0.0029310137033462524
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-06,model_minus_LN,0.04534799978137016,0.07235962152481079,0.07235962152481079,53.33331298828125,0.005973627964655558,0.02931983768939972,0.023934341967105865
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-06,model_minus_LN,0.009794209152460098,0.015905112028121948,0.015905112028121948,53.33331298828125,0.0012997302412986755,0.0062493085861206055,0.00519011914730072
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-05,model_minus_LN,0.07200266420841217,0.11439627408981323,0.11439627408981323,53.33331298828125,0.009509913921356201,0.04551269859075546,0.042579442262649536
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-05,model_minus_LN,0.015472503378987312,0.024971425533294678,0.024971425533294678,53.33331298828125,0.0020601260662078858,0.009662974625825882,0.009161487221717834
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-04,model_minus_LN,0.09864845871925354,0.15720558166503906,0.15720558166503906,53.33331298828125,0.013234633604685467,0.060859255492687225,0.06411149352788925
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-04,model_minus_LN,0.020982909947633743,0.033928364515304565,0.033928364515304565,53.33331298828125,0.0028388424714406333,0.012804891914129257,0.013640481978654861
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-03,model_minus_LN,0.08966538310050964,0.14288198947906494,0.14288198947906494,53.33331298828125,0.011504079500834149,0.05607853829860687,0.054709434509277344
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-03,model_minus_LN,0.018660616129636765,0.030055880546569824,0.030055880546569824,53.33331298828125,0.002412537535031637,0.011579584330320358,0.011391758918762207
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-02,model_minus_LN,0.07739827036857605,0.12404876947402954,0.12404876947402954,53.33331298828125,0.009593480428059896,0.04849717766046524,0.04592818021774292
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-02,model_minus_LN,0.015669533982872963,0.025285273790359497,0.025285273790359497,53.33331298828125,0.001952918569246928,0.00977601483464241,0.009293805807828903
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x-01,model_minus_LN,0.06788945198059082,0.10894948244094849,0.10894948244094849,53.33331298828125,0.008261128266652425,0.04214674234390259,0.04157378524541855
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x-01,model_minus_LN,0.013349424116313457,0.021466225385665894,0.021466225385665894,53.33331298828125,0.001627343495686849,0.008277878165245056,0.008169353008270264
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+00,model_minus_LN,0.05737555772066116,0.09223246574401855,0.09223246574401855,53.33331298828125,0.006810886065165202,0.03518129885196686,0.03657613694667816
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+00,model_minus_LN,0.010939648374915123,0.017532244324684143,0.017532244324684143,53.33331298828125,0.0012937856713930768,0.006719784811139107,0.006973393261432648
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+01,model_minus_LN,0.04353729262948036,0.0717160701751709,0.0717160701751709,106.66665649414062,0.00497457226117452,0.026199445128440857,0.029386885464191437
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+01,model_minus_LN,0.008041610941290855,0.013187453150749207,0.013187453150749207,106.66665649414062,0.0009073782960573833,0.004858130589127541,0.005437374114990234
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+02,model_minus_LN,0.02443930320441723,0.045415520668029785,0.045415520668029785,106.66665649414062,0.0025391117731730145,0.014059692621231079,0.01862195134162903
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+02,model_minus_LN,0.004368551541119814,0.00807790458202362,0.00807790458202362,106.66665649414062,0.0004392968614896139,0.0025205686688423157,0.00335029698908329
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+03,model_minus_LN,-0.0024868131149560213,-0.016472220420837402,0.016472220420837402,286.6666259765625,-0.001037362813949585,-0.0023192688822746277,-0.00013212114572525024
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+03,model_minus_LN,-0.00046483377809636295,-0.0031539499759674072,0.0031539499759674072,286.6666259765625,-0.00020053774118423463,-0.0004449225962162018,-6.995350122451782e-05
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+04,model_minus_LN,-0.0292123481631279,-0.0457836389541626,0.0457836389541626,53.33331298828125,-0.004773752689361572,-0.01772129535675049,-0.021692991256713867
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+04,model_minus_LN,-0.0049189371056854725,-0.007588103413581848,0.007588103413581848,80.0,-0.0008233715097109478,-0.003032771870493889,-0.00380576029419899
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+05,model_minus_LN,-0.02094545029103756,-0.03259479999542236,0.03259479999542236,53.33331298828125,-0.0031470052401224775,-0.013428919017314911,-0.012585170567035675
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+05,model_minus_LN,-0.003557202173396945,-0.005364656448364258,0.005364656448364258,53.33331298828125,-0.0005404786268870036,-0.002331012859940529,-0.0021820813417434692
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+06,model_minus_LN,-0.01070470828562975,-0.01697361469268799,0.01697361469268799,53.33331298828125,-0.0015264602502187094,-0.007216557860374451,-0.004680275917053223
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+06,model_minus_LN,-0.0018079022411257029,-0.0027718544006347656,0.0027718544006347656,53.33331298828125,-0.0002586318055788676,-0.0012502055615186691,-0.0007810816168785095
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+07,model_minus_LN,-0.005415825173258781,-0.008576631546020508,0.008576631546020508,53.33331298828125,-0.0007845962047576904,-0.0036839917302131653,-0.0022587329149246216
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+07,model_minus_LN,-0.0009135176660493016,-0.0013971328735351562,0.0013971328735351562,53.33331298828125,-0.0001330638925234477,-0.0006382092833518982,-0.0003755558282136917
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+08,model_minus_LN,-0.002504038857296109,-0.003962159156799316,0.003962159156799316,53.33331298828125,-0.00036650260289510097,-0.0017134100198745728,-0.0010108724236488342
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+08,model_minus_LN,-0.0004221141280140728,-0.0006445348262786865,0.0006445348262786865,53.33331298828125,-6.220787763595581e-05,-0.0002968739718198776,-0.00016768649220466614
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+09,model_minus_LN,-0.0010285456664860249,-0.0016266107559204102,0.0016266107559204102,53.33331298828125,-0.0001514279842376709,-0.0007061809301376343,-0.0004073828458786011
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+09,model_minus_LN,-0.00017333427967969328,-0.0002644062042236328,0.0002644062042236328,53.33331298828125,-2.571473519007365e-05,-0.0001223776489496231,-6.748363375663757e-05
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+10,model_minus_LN,-0.0003511746763251722,-0.0005552768707275391,0.0005552768707275391,53.33331298828125,-5.185405413309733e-05,-0.00024153292179107666,-0.00013778358697891235
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+10,model_minus_LN,-5.917648377362639e-05,-9.02414321899414e-05,9.02414321899414e-05,53.33331298828125,-8.80897045135498e-06,-4.18592244386673e-05,-2.281181514263153e-05
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+11,model_minus_LN,-8.069674368016422e-05,-0.00012755393981933594,0.00012755393981933594,53.33331298828125,-1.1932849884033202e-05,-5.552172660827637e-05,-3.1538307666778564e-05
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+11,model_minus_LN,-1.3595819837064482e-05,-2.0712614059448242e-05,2.0712614059448242e-05,53.33331298828125,-2.0259618759155275e-06,-9.622424840927124e-06,-5.2228569984436035e-06
67#4,PC_OFF,R4_normal,logit,Mach_bands,ramp_minus_matched_uniform_x+12,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,Mach_bands,ramp_minus_matched_uniform_x+12,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,logit,SBC,bright_surround_minus_dark_surround,model_minus_LN,0.40911564230918884,0.6372345685958862,0.6372345685958862,106.66665649414062,0.05916069030761719,0.2426050901412964,0.3249512314796448
67#4,PC_OFF,R4_normal,probability,SBC,bright_surround_minus_dark_surround,model_minus_LN,0.07971413433551788,0.12455415725708008,0.12455415725708008,106.66665649414062,0.011582074165344238,0.047176383435726166,0.0639447569847107
67#4,PC_OFF,R4_normal,logit,SBC,control_bright_surround_minus_dark_surround,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,SBC,control_bright_surround_minus_dark_surround,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,logit,Hermann,intersection_minus_corridor,model_minus_LN,0.10183191299438477,0.1836875081062317,0.1836875081062317,106.66665649414062,0.016142571767171227,0.05519746243953705,0.10718738287687302
67#4,PC_OFF,R4_normal,probability,Hermann,intersection_minus_corridor,model_minus_LN,0.01943426951766014,0.03438086807727814,0.03438086807727814,106.66665649414062,0.0030857596794764204,0.01067223772406578,0.020298000425100327
67#4,PC_OFF,R4_normal,logit,Hermann,control_intersection_minus_corridor,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,Hermann,control_intersection_minus_corridor,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,logit,White,on_bright_bar_minus_on_dark_bar,model_minus_LN,-0.12366803735494614,-0.23277777433395386,0.23277777433395386,106.66665649414062,-0.018022802670796714,-0.06666138023138046,-0.1275055855512619
67#4,PC_OFF,R4_normal,probability,White,on_bright_bar_minus_on_dark_bar,model_minus_LN,-0.024195801466703415,-0.045682042837142944,0.045682042837142944,106.66665649414062,-0.003552206754684448,-0.012999428436160088,-0.025203503668308258
67#4,PC_OFF,R4_normal,logit,White,control_on_bright_bar_minus_on_dark_bar,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,White,control_on_bright_bar_minus_on_dark_bar,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,logit,White,remote_contour_rearrangement_A_minus_B,model_minus_LN,-0.13498400151729584,-0.25092434883117676,0.25092434883117676,106.66665649414062,-0.01934028625488281,-0.07353261113166809,-0.13494202494621277
67#4,PC_OFF,R4_normal,probability,White,remote_contour_rearrangement_A_minus_B,model_minus_LN,-0.026394072920084,-0.04920658469200134,0.04920658469200134,106.66665649414062,-0.003808126449584961,-0.01433434709906578,-0.026648152619600296
67#4,PC_OFF,R4_normal,logit,White,remote_contour_rearrangement_control_A_minus_B,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,White,remote_contour_rearrangement_control_A_minus_B,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,logit,Hermann,contour_rearrangement_A_minus_B,model_minus_LN,0.11091141402721405,0.19791102409362793,0.19791102409362793,106.66665649414062,0.01721582094828288,0.06075334548950195,0.11301293224096298
67#4,PC_OFF,R4_normal,probability,Hermann,contour_rearrangement_A_minus_B,model_minus_LN,0.0212522204965353,0.037213996052742004,0.037213996052742004,106.66665649414062,0.00330164114634196,0.011781813576817513,0.021457115188241005
67#4,PC_OFF,R4_normal,logit,Hermann,contour_rearrangement_control_A_minus_B,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_normal,probability,Hermann,contour_rearrangement_control_A_minus_B,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,logit,White,remote_contour_rearrangement,variant_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,probability,White,remote_contour_rearrangement,variant_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,logit,Hermann,contour_rearrangement,variant_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,probability,Hermann,contour_rearrangement,variant_minus_original,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x-12,model_minus_LN,0.0,0.0,0.0,,0.0,0.0,0.0
67#4,PC_OFF,R4_H1_off,logit,Mach_bands,ramp_minus_matched_uniform_x-11,model_minus_LN,0.0007171750185079873,0.001135706901550293,0.001135706901550293,53.33331298828125,0.0001040784517923991,0.0004884675145149231,0.00029699504375457764
67#4,PC_OFF,R4_H1_off,probability,Mach_bands,ramp_minus_matched_uniform_x-11,model_minus_LN,0.00015611251001246274,0.00025269389152526855,0.00025269389152526855,53.33331298828125,2.260923385620117e-05,0.00010436773300170898,6.546266376972198e-05
