cell_id,group,best_step,stopping_step,stop_reason,best_inner_dev_nll,r4_development_nll,r4_50step_nll,center_surround_ln_nll,r4_development_minus_r4_50step,r4_development_minus_ln,winner_vs_50step,winner_vs_ln,validation_valid_bins,artifact_dir
67#4,PC_OFF,532,732,patience,0.5227259993553162,0.4659506380558014,0.4841122329235077,0.4796956777572632,-0.0181615948677063,-0.013745039701461792,R4-dev,R4-dev,480,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_4
67#6,MC_OFF,327,527,patience,0.4967757761478424,0.44508907198905945,0.46408164501190186,0.4307261109352112,-0.018992573022842407,0.014362961053848267,R4-dev,LN,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_6
67#7,MC_ON,369,569,patience,0.4879511594772339,0.45672571659088135,0.4680718779563904,0.4289216101169586,-0.011346161365509033,0.02780410647392273,R4-dev,LN,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_7
67#14,PC_ON,471,671,patience,0.3940765857696533,0.3753466010093689,0.38224947452545166,0.3661286532878876,-0.006902873516082764,0.009217947721481323,R4-dev,LN,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_14
67#21,PC_ON,423,623,patience,0.27505362033843994,0.30947262048721313,0.3243543207645416,0.2981460690498352,-0.014881700277328491,0.01132655143737793,R4-dev,LN,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_21
67#26,PC_ON,263,463,patience,0.4990163743495941,0.515579342842102,0.5387109518051147,0.515616238117218,-0.023131608963012695,-3.68952751159668e-05,R4-dev,R4-dev,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_26
67#33,MC_OFF,907,1000,max_steps,0.3939882516860962,0.37196028232574463,0.42171624302864075,0.3734823763370514,-0.04975596070289612,-0.0015220940113067627,R4-dev,R4-dev,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_33
67#34,PC_ON,384,584,patience,0.4160565435886383,0.3878273665904999,0.3927723467350006,0.37744656205177307,-0.004944980144500732,0.010380804538726807,R4-dev,LN,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_34
68#3,MC_OFF,140,340,patience,0.5118913650512695,0.5214966535568237,0.532558262348175,0.4869406223297119,-0.011061608791351318,0.034556031227111816,R4-dev,LN,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_3
68#4,PC_ON,918,1000,max_steps,0.43174004554748535,0.4338315725326538,0.45166701078414917,0.4231850504875183,-0.01783543825149536,0.010646522045135498,R4-dev,LN,2880,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_4
